name	bad_versions	incident	confidence	sources
python-mplhep	0.4.1-3	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-mplhep_data	0.0.4-3	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-netaudio-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-netaudio-lib	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-newspaper4k	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-nipype	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-nodejs-wheel	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-openai-harmony	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-orange	*	atomic-arch-2026-06	primary-source	aur-general-thread,cscs-list,aur-git-mirror,cachyos-forum
python-pdf2docx	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-piecash	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-pluginmgr	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-poetry-plugin-dotenv	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-privy-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,cscs-list,aur-git-mirror,cachyos-forum
python-pushbullet.py	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-pychromecast-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-pydns	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
python-pylsp-rope	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-pymilvus	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-pyrogram	*	atomic-arch-2026-06	single-source	aur-git-mirror
python-pysocks-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-quamash-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
python-rembg	*	atomic-arch-2026-06	primary-source	aur-general-thread,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-resvg	*	atomic-arch-2026-06	single-source	aur-git-mirror
python-resvg_py	*	atomic-arch-2026-06	single-source	aur-git-mirror
python-scikit-hep-testdata	0.6.3-1	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-single-version	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
python-sklearn-pandas	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-sqliteschema	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-stagger-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
python-starlette-compress	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-starsessions	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-steamcontroller-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-tabledata	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-tarantool	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-tradingeconomics	*	atomic-arch-2026-06	primary-source	aur-general-thread,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-uhi	0.5.0-3	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-uproot	5.7.1-1	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-uproot-docs	5.7.1-1	atomic-arch-2026-06	primary-source	research-2026-06-12
python-vector	1.8.0-1	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-vincenty	*	atomic-arch-2026-06	single-source	aur-git-mirror
python-webassets	3.0.0-1	atomic-arch-2026-06	primary-source	aur-git-mirror
python-xtarfile	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python2-appdirs	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python2-cffi	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
python2-chardet	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
python2-cssselect	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
python2-ctypes	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
python2-fusepy	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python2-gobject	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
python2-lazr-uri	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python2-lhafile	*	atomic-arch-2026-06	single-source	aur-git-mirror
python2-mutagen	1.43.1-2	atomic-arch-2026-06	primary-source	aur-general-thread,grht-list,aur-git-mirror,cscs-list
python2-notify	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python2-packaging	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python2-paver	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python2-pyparsing	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python2-simplejson	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python2-simpleparse	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python2-stomper	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python2-twodict-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python2-xlib	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
pytomtom	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
pyxplot	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
qbittorrent-enhanced-qt5	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
qconf-git	*	atomic-arch-2026-06	single-source	aur-git-mirror
qemacs	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
qemu-android-x86	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
qeven	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
